"year","GPP","ER","depth_log","temp.water","day.length","discharge_log","shortwave","velocity_log"
2007,14.7389338629687,-14.7105506596372,-0.790782542717196,19.6291666666667,11.75,-0.531752104423846,233.367125,-2.37821574045456
2007,15.3047933702143,-14.3297192823186,-0.756227650081956,19.6677083333333,11.75,-0.445703372690098,231.642583333333,-2.34542498342414
2007,16.1704430820075,-14.7331237870075,-0.689669680765997,19.29375,11.5,-0.27893278496352,227.67225,-2.28227829100482
2007,14.1533135640659,-11.2271407748896,-0.662735981171443,18.0041666666667,11.5,-0.212568446265604,227.026083333333,-2.25671027321456
2007,14.0621808612731,-10.9249877459146,-0.6410911802614,17.8645833333333,11.5,-0.158597237592255,229.955291666667,-2.23617136655045
2007,14.5915244539097,-11.7490738414006,-0.634983018651763,17.9927083333333,11.5,-0.143162185834567,229.834208333333,-2.23037794226434
2007,14.2690562629395,-11.5370031979912,-0.632377658000086,17.9822916666667,11.5,-0.136716022715913,229.1335,-2.22790507063491
2007,13.7953089744361,-11.0014952636916,-0.680335747661726,17.8229166666667,11.5,-0.255429487705648,222.667875,-2.27342432132151
2007,11.4310247246057,-9.382501870961,-0.667071151505394,18.284375,11.5,-0.223204893508104,203.342375,-2.26082623304066
2007,12.8437194405499,-0.0104955550559039,-0.737339224771617,17.9614583333333,10.5,-0.398471747322168,179.773,-2.32750336157951
2007,11.4792450966035,-2.73506879081008,-0.785996655078638,17.9770833333333,10.25,-0.520272068187606,187.103666666667,-2.37366854601003
2007,10.3742336027277,-5.62409772789768,-0.806244403402527,17.3177083333333,10.25,-0.570651584037584,188.181041666667,-2.39288317362258
2007,10.0631093921476,-8.15350814327505,-0.858426170486995,17.0583333333333,10.25,-0.697939460022422,182.902833333333,-2.44243617462474
2007,9.00503410027336,-9.77776928336414,-0.982268460731655,16.9583333333333,10.25,-1.0082021701759,181.252583333333,-2.55993178190655
2007,6.0918410733436,-9.2365352727241,-1.07286648115833,16.7770833333333,10.25,-1.23590338370676,179.707208333333,-2.64587703424033
2007,7.47690779988411,-11.3997342001188,-1.16837417871214,17.0041666666667,10.25,-1.47397869127353,177.129458333333,-2.73650608060597
2007,4.65640568743659,-9.01902256273218,-1.2369734455113,16.534375,10,-1.64599801194971,173.04475,-2.80158759362344
2007,4.04691825636891,-8.11105208777806,-1.28491058803501,16.8135416666667,10,-1.76630833212186,135.4805,-2.84706536445501
