"date","site_name","GPP","ER","depth","temp.water","day.length","discharge","shortwave","velocity","discharge_log","depth_log","velocity_log","year"
"2011-08-09","nwis_11462500",1.41219812519704,-1.06116739581661,0.439871089271204,16.003125,13.75,3.57706670384375,328.265833333333,0.65294838560359,1.2745431080884,-0.821273573925623,-0.426257194784372,2011
"2011-08-10","nwis_11462500",1.32285880939364,-0.975179046131397,0.435827948988819,16.2635416666667,13.5,3.49241113,326.450416666667,0.646571806315235,1.25059236586961,-0.830507725924035,-0.436071017618189,2011
"2011-08-11","nwis_11462500",1.33540953875959,-0.908081698070286,0.437612873672677,16.065625,13.5,3.52987195884375,325.7835,0.649387135411396,1.26126159800513,-0.826420609493843,-0.431726229470504,2011
"2011-08-12","nwis_11462500",1.24625563288285,-0.870897706485655,0.436497197862791,16.175,13.5,3.50686452065625,319.892541666667,0.647628614628973,1.25472233929015,-0.828973323281411,-0.434437872501675,2011
"2011-08-13","nwis_11462500",1.37551596973831,-0.990084342400051,0.446436369383915,15.959375,13.25,3.7171761030625,321.550083333333,0.663310491318617,1.31296426793361,-0.806458398599532,-0.410512085722679,2011
"2011-08-14","nwis_11462500",1.49645074189243,-1.10947252374455,0.455718929372141,15.5447916666667,13.25,3.920703440875,319.0705,0.677976946655463,1.3662710869061,-0.785879042465653,-0.388641993602915,2011
"2011-08-15","nwis_11462500",1.55890751346322,-1.14856429369155,0.457865650108775,15.4010416666667,13.25,3.96878308734375,300.501916666667,0.681371617017935,1.37845952059262,-0.781179478274509,-0.383647428544253,2011
"2011-08-16","nwis_11462500",1.52085970377165,-1.07509217936734,0.454122033197298,15.6708333333333,13.25,3.885307382125,317.590416666667,0.675452762973234,1.35720210092787,-0.789389321471089,-0.392372053008178,2011
"2011-08-17","nwis_11462500",1.43532933811362,-1.04011753826721,0.45514196396539,15.7020833333333,13,3.90801985315625,317.655041666667,0.677065240788091,1.36303081429973,-0.787145899980641,-0.389987643226808,2011
"2011-08-18","nwis_11462500",1.50208441465415,-1.11370243517744,0.45866775738912,15.5447916666667,13,3.986776083875,316.496791666667,0.682640089932872,1.38298290526579,-0.779429171131181,-0.381787513011065,2011
"2011-08-19","nwis_11462500",1.53453436183653,-1.09597917123742,0.461794363662975,15.66875,13,4.057568201375,312.787333333333,0.687586402035477,1.40058382898377,-0.77263558728353,-0.374567781649972,2011
"2011-08-20","nwis_11462500",1.60231352335327,-1.15365121407513,0.467653874232286,15.5614583333333,13,4.19236819178125,308.849125,0.69686200612889,1.43326577517062,-0.760026841666127,-0.361167870421191,2011
"2011-08-21","nwis_11462500",1.68301399833123,-1.15053618574354,0.470338274832273,15.5541666666667,13,4.25490122890625,308.07575,0.701113510191371,1.44807154880791,-0.754303109476424,-0.355085478962908,2011
"2011-08-24","nwis_11462500",1.63406358491213,-1.08492255404941,0.473492300827202,15.5010416666667,13,4.32923295228125,299.972458333333,0.706101641559756,1.46539037904281,-0.747619626620827,-0.347996083636372,2011
"2011-08-25","nwis_11462500",1.54461968393867,-0.976435496078041,0.473129741776795,15.4229166666667,13,4.32067890475,301.208416666667,0.705536586494001,1.46341254378596,-0.748385632591146,-0.348796650077128,2011
"2011-08-26","nwis_11462500",1.52525092627076,-1.02006175980502,0.472150418946411,15.390625,13,4.2976714665625,299.907625,0.70398503458368,1.45807335662086,-0.75045765995711,-0.350998180743679,2011
"2011-08-27","nwis_11462500",1.61045158319804,-1.08727925144907,0.474199390068943,15.3135416666667,13,4.3460460801875,303.200333333333,0.707231871041817,1.46926648467437,-0.746127391583327,-0.346396702155762,2011
"2011-08-28","nwis_11462500",1.62217913266691,-1.09565734367749,0.476008427616567,15.33125,13,4.389111285,302.412625,0.710099442789781,1.47912676581869,-0.742319719830629,-0.342350258487002,2011
"2011-08-29","nwis_11462500",1.58668552076632,-1.06315131410676,0.474967611493276,15.4635416666667,12.75,4.364334043875,297.23325,0.708449606989582,1.47346561038395,-0.744508663602235,-0.344676348718922,2011
"2011-08-30","nwis_11462500",1.61200482362055,-1.05000492260421,0.473737413476197,15.325,12.75,4.33513229540625,294.119625,0.706499795906247,1.46675212773829,-0.747102090798703,-0.347432365737643,2011
"2011-08-31","nwis_11462500",1.60827955176142,-1.07940798423018,0.473716079360967,15.2791666666667,12.75,4.33454236109375,296.35325,0.706465762193047,1.46661603628463,-0.747147125442398,-0.347480539188173,2011
"2011-09-01","nwis_11462500",1.61140934277174,-0.987123822553523,0.474991610311787,15.096875,12.75,4.3649239781875,296.645666666667,0.708487697099097,1.47360077291711,-0.744458137604981,-0.34462258471763,2011
"2011-09-02","nwis_11462500",1.66973873190145,-1.09862102208631,0.477581912853637,15.075,12.75,4.426867081,294.708375,0.712594411170811,1.48769212867762,-0.739019588530336,-0.338842868711195,2011
"2011-09-03","nwis_11462500",1.63180218626074,-1.06563825263637,0.478344069765342,14.9760416666667,12.75,4.4451550446875,290.296083333333,0.713802911480373,1.49181474905215,-0.737424994205965,-0.337148389088258,2011
