"date","site_name","GPP","ER","depth","temp.water","day.length","discharge","shortwave","velocity"
2009-07-24,"nwis_11463682",7.99192346788208,-6.64294282321538,0.38433045045479,21.6177083333333,14.25,2.42374512290625,354.799916666667,0.475238547176917
2009-07-25,"nwis_11463682",8.50373968733671,-6.7320375010773,0.394748282533504,22.0489583333333,14.25,2.6004304495,354.035083333333,0.489190743294715
2009-07-26,"nwis_11463682",9.32865601535982,-6.75873162576217,0.39848525446691,22.5864583333333,13.75,2.66561819103125,352.21825,0.494202648068825
2009-07-27,"nwis_11463682",9.30010199282888,-6.27369865177578,0.382336988285374,22.6020833333333,13.75,2.39365847296875,350.36,0.472583779317969
2009-07-28,"nwis_11463682",9.47534176004948,-6.39039828515657,0.364364873413303,22.2572916666667,13.75,2.10931013434375,343.114583333333,0.448599281606264
2009-07-29,"nwis_11463682",8.81023044241923,-6.30605624904517,0.351403567507794,22.0583333333333,13.75,1.91640161415625,338.615083333333,0.431354766434523
2009-07-30,"nwis_11463682",7.5096387205346,-5.9255774721377,0.329471414948762,21.8958333333333,13.75,1.61671498340625,341.19925,0.402299709270028
2009-07-31,"nwis_11463682",8.56587981835578,-6.04735408112184,0.342437840875959,22.1,13.75,1.78779593403125,321.362041666667,0.419447771033252
2009-08-01,"nwis_11463682",9.01071373221416,-6.39268797392854,0.347502372736216,21.9270833333333,13.75,1.85799811721875,321.365583333333,0.42616233596562
2009-08-02,"nwis_11463682",8.03887864723076,-6.19789944964806,0.353071880162645,21.7729166666667,13.75,1.93763924940625,326.619833333333,0.432938598220784
2009-08-03,"nwis_11463682",7.75171594503943,-6.164759431853,0.359434195156487,21.5458333333333,13.75,2.030553903625,326.020583333333,0.44201523808874
2009-08-05,"nwis_11463682",9.83782031877215,-6.56541265694716,0.367565799777471,22.0333333333333,13.75,2.15355520778125,323.336041666667,0.452843543141802
2009-08-06,"nwis_11463682",8.07147994791077,-5.7624673097848,0.366891490010074,20.5270833333333,13.75,2.142641423,308.266166666667,0.451942479636283
2009-08-07,"nwis_11463682",9.55917817071546,-6.1734987980973,0.372194733392002,21.1260416666667,13.75,2.22552719390625,320.229166666667,0.459016086893372
2009-08-08,"nwis_11463682",10.6218918687392,-6.71227442947059,0.381024165349636,22.203125,13.75,2.367996330375,319.640708333333,0.470811801871158
2009-08-09,"nwis_11463682",10.7830498935247,-7.10253335271491,0.384525823121608,22.7614583333333,13.5,2.425809893,319.829208333333,0.475495184309571
2009-08-10,"nwis_11463682",10.8998783198974,-7.27948800184327,0.383364783831205,23.1895833333333,13.5,2.406931995,315.562333333333,0.473943567132453
2009-08-11,"nwis_11463682",10.1588396842898,-7.1803215190849,0.379525566056518,22.5291666666667,13.5,2.34351405640625,317.408208333333,0.468808471401999
2009-08-12,"nwis_11463682",10.6510569749629,-7.04773333522801,0.374427764658489,22.33125,13.5,2.261808154125,311.348916666667,0.462000435714453
2009-08-13,"nwis_11463682",10.7524562963839,-6.95590928067627,0.367774659779108,22.1791666666667,13.5,2.15650487934375,311.243291666667,0.453120750880169
2009-08-14,"nwis_11463682",10.2379988109068,-6.56430908298317,0.36675155591821,21.684375,13.25,2.14116658721875,317.729208333333,0.451759007291239
2009-08-15,"nwis_11463682",10.5361300883077,-6.64770811077426,0.371304146947784,22.0770833333333,13.25,2.21136877040625,314.334875,0.457827175187135
2009-08-16,"nwis_11463682",10.1764504708646,-6.5181786004681,0.377899562686628,22.2083333333333,13,2.3166720451875,312.363583333333,0.466633694852937
2009-08-17,"nwis_11463682",10.0416321558138,-6.2992988228358,0.372942598431086,21.9895833333333,13,2.23909568309375,310.030208333333,0.46002175825285
2009-08-18,"nwis_11463682",9.89425974686201,-6.43871082713481,0.370443474421628,21.8791666666667,13,2.19898014984375,310.345666666667,0.456683800527901
2009-08-19,"nwis_11463682",9.61439923549831,-6.6016386512611,0.365786396024621,21.753125,13,2.12582829509375,307.325166666667,0.450470459062271
2009-08-21,"nwis_11463682",10.196939057637,-6.31101972829369,0.361075142363456,22.190625,13,2.0547412104375,307.781083333333,0.44419757330777
2009-08-22,"nwis_11463682",10.3244684395674,-6.65479589869518,0.361425854993834,22.0010416666667,13,2.0618204221875,302.597583333333,0.444672844449576
2009-08-23,"nwis_11463682",8.021344589717,-6.54053028189744,0.367285409444015,21.0947916666667,13,2.14883573328125,306.787583333333,0.452468067814549
2009-08-24,"nwis_11463682",8.87009692063409,-6.52007068444359,0.369914158259878,21.0635416666667,13,2.18954120084375,306.117541666667,0.455972729324768
2009-08-25,"nwis_11463682",9.31795925368036,-6.72034282989643,0.366818267658006,21.2645833333333,13,2.14234645584375,300.052291666667,0.451848503829901
2009-08-26,"nwis_11463682",9.51065007488641,-6.77657283575483,0.359695087072122,21.3895833333333,13,2.0340935095,299.474708333333,0.442360853211147
2009-08-29,"nwis_11463682",8.4435804956538,-7.23941316569111,0.360092779380873,22.6364583333333,12.75,2.039992852625,283.204083333333,0.442889938985303
2009-08-30,"nwis_11463682",7.80067468060056,-7.34530252076983,0.37053353458886,21.7572916666667,12.75,2.20016001846875,290.84025,0.456802977498605
2009-08-31,"nwis_11463682",6.72986181872449,-7.09717486793592,0.379100985932268,21.1583333333333,12.75,2.33702477896875,285.06325,0.468242836094135
2009-09-02,"nwis_11463682",7.6436045553248,-7.09626932190478,0.385693494637981,21.9572916666667,12.75,2.444687791,224.76875,0.47705529935372
2009-09-03,"nwis_11463682",7.83082666871055,-7.72309614016348,0.384678950723954,22.2354166666667,12.75,2.42846459740625,281.957166666667,0.475700491082751
2009-09-04,"nwis_11463682",7.1623984652352,-7.53379591101856,0.386032321288073,21.4354166666667,12.75,2.450587134125,284.183291666667,0.477509705576271
2009-09-05,"nwis_11463682",6.55317622956581,-7.16824595305991,0.391457731941881,20.8895833333333,12.5,2.54232191971875,265.891875,0.484774802325718
2009-09-06,"nwis_11463682",6.64047586446877,-7.8530291676644,0.394312363771091,20.5927083333333,12.5,2.5915814348125,264.393125,0.488601309451898
2009-09-07,"nwis_11463682",5.99967736842853,-7.23082079567499,0.398717759731024,20.4520833333333,12.25,2.66886282975,271.938208333333,0.49451141337495
2009-09-08,"nwis_11463682",6.53380532272131,-7.68538641497789,0.396996491772971,20.559375,12.25,2.6387761798125,274.408791666667,0.49220263913751
2009-09-09,"nwis_11463682",6.63074063439502,-7.8246781727231,0.391880440697379,20.8354166666667,12.25,2.54999106578125,273.678833333333,0.485342909006932
2009-09-10,"nwis_11463682",6.68147148447887,-8.11368721113225,0.392981543455729,21.15,12.75,2.56886896378125,267.711666666667,0.486818392565406
2009-09-11,"nwis_11463682",7.14710653393489,-8.45741442840847,0.392999420624955,21.6354166666667,12.75,2.56945889809375,266.047541666667,0.486843453798031
2009-09-12,"nwis_11463682",5.69935447239732,-7.43959066593888,0.392769403487235,20.9510416666667,12.75,2.56532935790625,258.48225,0.486534498479886
2009-09-13,"nwis_11463682",4.33885545228083,-9.41048887710217,0.402200838785527,19.7760416666667,12.75,2.73110089971875,226.416208333333,0.499188469055746
2009-09-14,"nwis_11463682",6.03147132891883,-8.64892475783847,0.407803903068736,20.578125,12.75,2.8322746343125,212.165583333333,0.506716173249683
2009-09-15,"nwis_11463682",6.61468838816463,-9.37356999860324,0.405613010050328,20.9427083333333,12.75,2.792749035375,254.280208333333,0.503772837033417
2009-09-18,"nwis_11463682",7.90633213625394,-7.8402410481351,0.373398342657245,21.9635416666667,12.75,2.24499502621875,250.272583333333,0.460624267889293
2009-09-19,"nwis_11463682",7.88088986819563,-7.93219055039973,0.385611514560679,21.8239583333333,12.75,2.44380288953125,243.063791666667,0.476947524127967
2009-09-20,"nwis_11463682",7.4707330384296,-7.71213427842662,0.380530462830646,21.7302083333333,11.5,2.35973725,246.199625,0.470150977790095
2009-09-21,"nwis_11463682",7.4387987184096,-7.52779466379966,0.378070632840726,21.5291666666667,11.5,2.3202116510625,250.384833333333,0.466865451930978
2009-09-22,"nwis_11463682",7.54083335739749,-7.48694181713242,0.37222997356963,21.4072916666667,11.5,2.226412095375,245.965625,0.459064507497372
2009-09-23,"nwis_11463682",7.7159251259284,-7.37192195208782,0.370816884342415,21.2635416666667,11.5,2.2039945915,246.159625,0.457178280454315
2009-10-15,"nwis_11463682",1.40281907414696,-6.19951771589218,0.625031787388454,17.765625,11.5,8.7923809935,117.519958333333,0.804424304717412
2009-10-16,"nwis_11463682",2.31032841251051,-5.79765126862505,0.547311753688788,18.6822916666667,11.5,6.16687833571875,182.985875,0.696703468540539
2009-10-17,"nwis_11463682",2.44283850905505,-5.34251883333303,0.512085286822135,19.0416666666667,11.5,5.16752961034375,167.068041666667,0.64829662396293
2009-10-18,"nwis_11463682",2.26950562817558,-4.08454062946117,0.500881616909106,18.4208333333333,11.5,4.87285742125,136.769958333333,0.632958529664925
2009-10-19,"nwis_11463682",2.21166647830981,-3.86436259275805,0.498383089167523,17.48125,11.5,4.80884954834375,120.4835,0.629542458107861
2009-10-20,"nwis_11463682",2.88553310761855,-4.29125090069827,0.48718424572804,17.8041666666667,11.5,4.5301055856875,179.328916666667,0.614253195620647
2009-10-21,"nwis_11463682",3.30902372348876,-4.67558427233315,0.469774861998307,17.9427083333333,11.5,4.11508679684375,170.14625,0.590536454791618
2009-10-22,"nwis_11463682",3.58996491185383,-4.62842305405122,0.450594010781261,17.971875,11.25,3.6864995188125,178.446791666667,0.564491030194641
2009-10-23,"nwis_11463682",4.02273118061036,-4.96647717863802,0.439546974760717,18.1270833333333,10.25,3.45200062959375,171.4735,0.549528759401186
2009-10-24,"nwis_11463682",4.35584745598022,-4.85652026138007,0.431665784155559,18.1739583333333,10.25,3.2912435294375,161.885708333333,0.538875600228123
2009-10-25,"nwis_11463682",4.59591236811878,-5.19132263751941,0.425842104204386,18.0208333333333,10.25,3.175026469875,171.23375,0.531012224768582
2009-10-26,"nwis_11463682",5.00332191873926,-5.25859592143032,0.424137929624091,17.8333333333333,10.25,3.1414002140625,169.690041666667,0.528712472151112
2009-10-27,"nwis_11463682",4.81368828057684,-4.96195435470854,0.431374408186554,15.9416666666667,10.25,3.285934120625,175.22475,0.538483847319199
2009-10-28,"nwis_11463682",4.99501880505464,-5.27093636905567,0.45364840100271,15.0583333333333,10.25,3.7519822275,172.6875,0.568630041413618
2009-10-29,"nwis_11463682",5.20634238746035,-5.32455972361778,0.463133746634439,15.44375,10.25,3.96229380990625,164.607958333333,0.581505248477936
2009-10-30,"nwis_11463682",5.8987289754284,-5.68451096545198,0.467145177904733,16.2947916666667,10.25,4.0534386611875,164.847458333333,0.586956969390951
2010-06-22,"nwis_11463682",2.90356230072182,-6.6428217924998,0.611381170348193,20.5697916666667,14.5,8.24816659021875,346.029791666667,0.785341179607905
2010-06-23,"nwis_11463682",2.85587206898048,-6.62044229180605,0.604794809424105,20.775,14.5,8.014847569625,348.617416666667,0.776188747440766
2010-06-24,"nwis_11463682",2.81909785441674,-6.50188473579527,0.594307575715458,20.603125,14.5,7.6532178360625,342.606166666667,0.76163538299163
2010-06-25,"nwis_11463682",2.59248070970507,-5.94490258985954,0.582974515530003,20.665625,14.5,7.27300517165625,345.185541666667,0.745929849863337
2010-06-26,"nwis_11463682",2.70236667182139,-6.19214191621638,0.577306359845529,21.3010416666667,14.5,7.0880607646875,348.295791666667,0.738085740059775
2010-06-27,"nwis_11463682",2.6885368328247,-6.16998829736642,0.567012236147569,22.11875,14.5,6.7600572869375,350.872208333333,0.723856781083566
2010-06-28,"nwis_11463682",2.87024884083435,-6.17862909958553,0.550291531678096,22.6520833333333,14.5,6.24887920515625,349.335041666667,0.700792762622796
2010-06-29,"nwis_11463682",2.86840050620318,-6.23045259904358,0.540633125092544,21.8854166666667,14.5,5.96099126065625,350.684125,0.68748701453327
2010-07-01,"nwis_11463682",2.64252140999446,-5.68850443595143,0.530719020575709,20.3489583333333,14.5,5.676347954875,362.460625,0.673854572160969
2010-07-02,"nwis_11463682",2.8269711814137,-5.97961405567445,0.527934298504144,20.4677083333333,14.75,5.59818165846875,364.083083333333,0.670029740333446
2010-07-03,"nwis_11463682",2.99066400350807,-5.64454017956252,0.527401128233125,21.1614583333333,15.25,5.5831383335,365.626875,0.66929723831535
2010-07-04,"nwis_11463682",3.15062160928091,-5.75789768589053,0.527864484363312,21.5145833333333,15.25,5.59641185553125,365.012875,0.669934324463308
2010-07-05,"nwis_11463682",2.91201618790286,-5.04033889755457,0.527233046964744,20.8677083333333,15.25,5.578418859,363.881541666667,0.669066373713325
2010-07-06,"nwis_11463682",2.88284524003442,-4.61871825813342,0.525071519073888,19.9145833333333,15.25,5.518245559125,363.449458333333,0.666098732085459
2010-07-07,"nwis_11463682",3.3750944709164,-5.0054510231288,0.524400721533762,20.2760416666667,14.25,5.49966262828125,360.515666666667,0.665177993883764
2010-07-08,"nwis_11463682",3.59110553985439,-5.03384150839234,0.522736087947586,20.5583333333333,14.25,5.45364775190625,356.2735,0.662893363273844
2010-07-09,"nwis_11463682",3.92592149785244,-5.22809725151443,0.522124546441396,20.8791666666667,14.25,5.436834624,353.86875,0.662054279132478
2010-07-10,"nwis_11463682",4.24053633354799,-5.4857529088509,0.52073703818144,21.3916666666667,14.25,5.39878386084375,355.371083333333,0.660150747220904
2010-07-11,"nwis_11463682",4.14973360034182,-5.44476276604186,0.519587339166063,21.4510416666667,14.25,5.36751734228125,355.549416666667,0.658574128709082
2010-07-13,"nwis_11463682",3.91830075976481,-4.99829326861065,0.51589852492161,20.6104166666667,14.25,5.2675234763125,350.714875,0.653516362683525
2010-07-14,"nwis_11463682",4.60088588097052,-5.78191317789258,0.514971987839484,21.4927083333333,14.25,5.2427462351875,352.9065,0.652246843229738
2010-07-15,"nwis_11463682",5.00355107970232,-6.67457584350594,0.508465793036939,22.2833333333333,14.25,5.07019044878125,345.123875,0.643335921217506
2010-07-16,"nwis_11463682",4.66383674590043,-6.73863122249002,0.500420315490394,22.3447916666667,14.25,4.8616486693125,345.815041666667,0.632329461812669
2010-07-17,"nwis_11463682",4.41528851630827,-6.95437618180264,0.496594911119347,22.0822916666667,14.25,4.76342460628125,349.476833333333,0.627098637762222
2010-07-18,"nwis_11463682",4.61214977220702,-7.42289386097547,0.492911547417536,22.3885416666667,14.25,4.671099886375,357.302833333333,0.622068142464618
2010-07-19,"nwis_11463682",4.67814655654735,-7.3257227052336,0.488809112452072,22.18125,14.25,4.569631184625,353.991458333333,0.61646901544525
2010-07-20,"nwis_11463682",4.83858452176331,-7.58452697016752,0.481351257076814,21.6760416666667,14.25,4.38763644921875,354.852166666667,0.606297210381886
2010-07-21,"nwis_11463682",4.78469113408812,-7.60967735765306,0.480647213532719,21.1729166666667,14.25,4.37052835415625,353.536666666667,0.605337151137358
2010-07-22,"nwis_11463682",4.65974636475455,-7.36683349421149,0.477322615518113,21.1354166666667,14.25,4.29088722196875,351.691375,0.600806893843856
2010-07-23,"nwis_11463682",4.90664381361478,-7.72125033713048,0.478389318842076,21.425,14.25,4.31595943025,350.256416666667,0.602259058305931
2010-07-24,"nwis_11463682",4.81674801824732,-7.98733657233294,0.475541466813535,21.559375,14.25,4.248706918625,348.178958333333,0.59838121269003
2010-07-25,"nwis_11463682",4.29239286790626,-7.50838572643807,0.475812987939205,21.2229166666667,14.25,4.2551961960625,346.581416666667,0.598751161629373
2010-07-26,"nwis_11463682",3.62562452219384,-6.3830404400757,0.478223689217589,20.246875,13.75,4.31212485721875,345.966916666667,0.602033744992582
2010-07-27,"nwis_11463682",4.05897552621006,-6.89959618081253,0.470527164127837,20.0510416666667,13.75,4.13160495759375,345.834333333333,0.591557173823885
2010-07-29,"nwis_11463682",5.27182076667951,-7.28685734140517,0.471552089262568,20.8864583333333,13.75,4.15549729725,349.254125,0.592951890672042
2010-07-30,"nwis_11463682",5.29233607144,-7.27657659047024,0.474929558260743,21.1916666666667,13.75,4.234548495125,347.538,0.597548840116852
2010-07-31,"nwis_11463682",5.2805416446319,-7.43256273007922,0.473824951777725,21.3520833333333,13.75,4.208591385375,346.732666666667,0.59604509655724
2010-08-01,"nwis_11463682",5.18854689248719,-7.28124171815003,0.476667905564133,21.2333333333333,13.75,4.2752539626875,339.389458333333,0.599914897848626
2010-08-02,"nwis_11463682",5.27196385970285,-7.44690271440231,0.47683794078066,21.1052083333333,13.75,4.279383502875,331.6475,0.600146757035971
2010-08-03,"nwis_11463682",5.51547850189757,-7.73253972624765,0.465715628509524,21.3739583333333,13.75,4.022172142625,332.387,0.585017765677033
2010-08-04,"nwis_11463682",5.34055648652272,-7.56411028239551,0.465562008606889,21.1895833333333,13.75,4.017452668125,330.127875,0.584805327837877
2010-08-05,"nwis_11463682",5.25047288272193,-7.44726272581809,0.467992993311824,20.7135416666667,13.75,4.0729064935,327.277291666667,0.588109799527514
2010-08-06,"nwis_11463682",5.59354783204879,-7.99321232147238,0.46905506592085,20.803125,13.75,4.09738876746875,327.905125,0.58955424981999
2010-08-07,"nwis_11463682",5.41154028508526,-7.89591810632214,0.469243488053757,20.871875,13.75,4.1018132748125,322.974916666667,0.589810750149051
2010-08-08,"nwis_11463682",5.5612604692502,-8.11496131461324,0.477401330678707,20.8177083333333,13.75,4.29265702490625,319.661958333333,0.600913823037503
2010-08-09,"nwis_11463682",5.35560269064281,-7.85309089425392,0.480685658494664,20.6458333333333,13.5,4.37111828846875,321.109458333333,0.605388593866161
2010-08-10,"nwis_11463682",5.59190231252704,-8.09022488279157,0.480714829271251,20.390625,13.5,4.37170822278125,322.308708333333,0.60542803393336
2010-08-11,"nwis_11463682",5.13660312079035,-7.1563423755056,0.477110355249407,20.1520833333333,13.5,4.2858727803125,313.017833333333,0.60051785851769
2010-08-12,"nwis_11463682",5.90742561670791,-7.89528498057432,0.473301355017211,20.765625,13.5,4.1962027648125,315.626375,0.595332055967568
2010-08-13,"nwis_11463682",5.77295473877818,-7.93116352286944,0.469733483200302,20.6322916666667,13.5,4.11302202675,313.598583333333,0.590476901310163
2010-08-14,"nwis_11463682",5.35015218607279,-7.44696809823675,0.469070702511801,20.384375,13.25,4.097683734625,314.05425,0.589575321923552
2010-08-15,"nwis_11463682",5.36018038163759,-7.37291352388499,0.471058542615826,20.6822916666667,13.25,4.143698611,316.763541666667,0.592279410413973
2010-08-16,"nwis_11463682",5.96852202493838,-7.75143446072403,0.47561430898862,21.0979166666667,13,4.2504767215625,314.290875,0.59848054236135
2010-08-17,"nwis_11463682",5.59180467503598,-7.43803788751001,0.472732116348808,20.6,13,4.1832242099375,315.766083333333,0.594558289627291
