"year","site_name","GPP","ER","depth_log","temp.water","day.length","discharge_log","shortwave","velocity_log"
2013,"nwis_11447650",1.32815157649776,-3.34358272086091,1.13505602450946,22.1770833333333,12.75,6.19416342938532,286.048833333333,0.451940297952242
2013,"nwis_11447650",0.701757093662196,-2.85458877855333,1.02796601636646,20.6864583333333,11.75,5.83966235264856,250.683458333333,0.275438069432732
2013,"nwis_11447650",0.809770299296474,-3.1297188007112,0.995885803811561,20.5197916666667,11.75,5.74698968922906,244.5615,0.224577529869522
2013,"nwis_11447650",0.296316945744382,-3.80406121434215,0.994488571744952,20.0010416666667,11.75,5.73733847462942,147.476166666667,0.221483190180635
2013,"nwis_11447650",1.32133127708282,-9.35890204957574,1.00806772379198,19.340625,11.75,5.77802925314797,239.175541666667,0.243298053921379
2013,"nwis_11447650",0.368171408880933,-2.97296495647306,1.0099250982223,19.2677083333333,11.75,5.78295570792139,233.484375,0.246186410856832
2013,"nwis_11447650",0.923039993209588,-3.41556815918111,0.993705667165078,19.4510416666667,11.75,5.72960736293472,237.495166666667,0.219510911491893
2013,"nwis_11447650",0.535869585788734,-3.8381328172807,1.00177336059583,19.25,11.5,5.74836354848345,237.951166666667,0.231728476599197
2013,"nwis_11447650",0.644650192742643,-3.78665333924324,0.999227848772282,18.6989583333333,11.25,5.73136882003822,238.8395,0.226307926588968
2013,"nwis_11447650",0.247969960395955,-3.29043969075225,0.997324474212672,18.1885416666667,11.25,5.71735442239388,236.133708333333,0.222073018087467
2013,"nwis_11447650",0.195407270596031,-3.10238514324473,0.9872082865945,18.0739583333333,11.25,5.69209033436747,229.598208333333,0.2064938410271
2013,"nwis_11447650",0.139810224784203,-2.10255514779085,0.992456246426474,18.2,11.25,5.7113517289471,223.242,0.215420740217552
2013,"nwis_11447650",0.0971029554697907,-1.84356169894016,0.974140062738215,18.3052083333333,11.25,5.66337018398015,199.005208333333,0.186989709283942
2013,"nwis_11447650",0.10321222704026,-2.02002220860361,0.971687748141275,18.44375,11.25,5.65459905480861,215.041208333333,0.182966945723126
2013,"nwis_11447650",0.0328667773274483,-2.17859399160471,0.956228930837688,18.4854166666667,11,5.6065429356471,219.453208333333,0.157931398628017
2013,"nwis_11447650",0.435404046610383,-3.02362499798581,0.973183843953258,18.0760416666667,11,5.64591701306248,217.724041666667,0.183501566947746
2013,"nwis_11447650",0.602974173846267,-3.26555671559093,0.940628982000354,17.3645833333333,11.5,5.56439125012809,222.314041666667,0.133891708169397
2013,"nwis_11447650",0.551505448822593,-3.58257151913251,0.920084162328181,17,11.5,5.53022190118854,219.226,0.10530164834616
2013,"nwis_11447650",0.237880146682262,-2.87754658640714,0.909087719792335,16.9895833333333,11.5,5.51376222562862,215.638541666667,0.090930709289449
2013,"nwis_11447650",1.16506540933328,-3.44435239970245,0.887270237977264,16.8791666666667,11.5,5.44754407901464,201.649541666667,0.0562900486301318
2013,"nwis_11447650",0.90728308636702,-3.18408729407452,0.889313767624684,16.8427083333333,11.5,5.43725712843616,200.270375,0.056545028702937
2013,"nwis_11447650",0.913814786101912,-2.82835976702845,0.8930749807409,16.803125,11.5,5.4320878880569,198.3045,0.0592794198646257
2013,"nwis_11447650",1.05679537766576,-3.46441059682639,0.898803953411825,16.6947916666667,11.5,5.45295017215228,196.209041666667,0.0691302524939595
2013,"nwis_11447650",1.08030036125631,-3.74091617433078,0.889699720005945,16.734375,11.5,5.43496084241025,196.341208333333,0.0559383860558893
2013,"nwis_11447650",1.34516329419318,-3.53928075523498,0.891681504189447,16.6583333333333,11.5,5.44503446312619,197.678125,0.0599588296019694
2013,"nwis_11447650",1.62690361830033,-1.56493002445835,0.839430243335258,16.7197916666667,10.5,5.3019321499724,168.657083333333,-0.0201576431166932
2013,"nwis_11447650",1.69361431214567,-3.30433095412859,0.864338450914275,16.0208333333333,10.25,5.39632854253307,121.577625,0.0231388407243279
2013,"nwis_11447650",1.01579348853668,-5.26486378349876,0.913717899637546,14.90625,10,5.52209078215783,160.150583333333,0.0981787110084842
2013,"nwis_11447650",0.666900375697208,-4.65536405053907,0.929741506176529,14.7395833333333,10,5.55298970683956,154.255208333333,0.120106414499976
2013,"nwis_11447650",0.306336352933909,-3.16993729496168,0.928760465780498,14.6645833333333,10,5.58435166209241,146.6095,0.124786999350499
2013,"nwis_11447650",0.372864072079636,-3.31613329829692,0.97121921953442,14.1364583333333,10,5.65972917298857,147.627458333333,0.183219898306778
2013,"nwis_11447650",0.485148008019407,-3.28989551402967,0.958758929776827,13.4052083333333,10,5.63661228365674,153.219458333333,0.165577186901367
2013,"nwis_11447650",0.44536760941707,-2.81136822793218,0.922082271676373,12.8395833333333,10,5.58388510590576,148.469625,0.119162289554264
2013,"nwis_11447650",0.505249665685646,-3.29075563185903,0.914285220408833,12.7322916666667,10,5.54552508022096,120.915916666667,0.103478409776275
2013,"nwis_11447650",0.746595678668855,-3.02470615004541,0.907573229741449,12.8822916666667,10,5.52911955232513,120.676583333333,0.0934862673513646
2013,"nwis_11447650",0.895381709492759,-3.01902080396332,0.930843095188583,13.125,10,5.54654391728079,143.204166666667,0.120007247215709
2013,"nwis_11447650",0.746790485636316,-3.57659204859305,0.92741580740825,13.490625,10,5.52172990458457,140.76225,0.112022554043404
2013,"nwis_11447650",0.713355767570698,-3.84074565832302,0.921306609698495,13.6677083333333,9.75,5.50337377595833,140.782791666667,0.10224265640857
2013,"nwis_11447650",0.697457839515896,-4.57145925459143,0.918426377689096,13.7510416666667,9.75,5.50193105184543,132.19525,0.0988166591170073
